"score","text"
2," befor the gopdeb focus grouper said they had favor view of trump after onli saw him posit"
1," just made my first donat to so impress by her gopdeb perform fiorina"
-1," if we want to stop send foreign aid to place that burn our flag can we start with berkeley gopdeb"
0," donald trump campaign reveal import thing twitter troll are real peopl and they vote that should scare eve"
1," those say dont worri trump will never be elect need to rememb we elect georg bush twice gopdeb"
1,"fox news had it own gopdeb agenda promot car never mention fire from hp fiorina amp run trump out of race"
2," oh one more thing did anyon hear anyth about afford child care for work famili last night in the gopdeb i"
0," dear gopdeb notamistak"
-1," gopdeb bill and martha were the a team in the first debat nd debat was an ambush"
-1,"the countri go to hell and megyn kelli on foxnew is attack trump for a war on women gopdeb"
0," st gopdebateencourag to see sever candid express their faith in god and his son jesus christ"
1," donaldtrump said hes not polit correct which of cours is trumpspeak for let face it im huge asshol"
0," a messag to the gopdeb candid"
-1," this is the worst episod of the apprentic that ive ever seen gopdeb"
-2," the purpos of the militari is to kill peopl and break thing someth an actual man run for presid just said"
1,"wonder if i could get the republican parti to pay for my liver transplant after play gopdeb drink game last night"
1," great way to start friday carlyfiorina gopdeb"
0," if elect on my first day as presid ill rescind everi illeg and unconstitut execut order enact by pres oba"
-1,"theyr all todd akin now how the plan parenthood sting backfir on republican gopdeb standwithpp"
-1," hey let republican digest gopdeb befor allow crazi to trash our gop"
1," watch donald trump receiv enorm applaus for horribl misogynist gopdeb answer"
3,"even though shes a super conserv report i actual like megyn kelli interview style amp she did great at the gopdeb"
0," the gopdeb is not a debat at all it a seri of minut opportun to avoid answer a question one candid"
-1," credit for this joke goe to someon els but it is funni gopdeb"
0," simpli incred last night gopdeb doubl the previous record for mostwatch primari debat i"
0," this liter couldnt be more true for me i watch the gopdeb amp all i got was a lousi hangov"
0," haha a littl saa from this morn toward factcheck gopdeb"
0," what peopl saw in person vs what we saw on tv gopdeb"
0," marco rubio told to his face hes candid of yesterday for his antigay bigotri gopdeb ht"
0," none of them have made trump look out of place or foolish yet think about that when your done cri think about it agai"
1,"had a great time watch the gopdeb last night"
0," gopdeb donald trump say that he doesnt have time for polit correct how doe call women fat pig save him"
-1," this is the we have now one of the peopl on tv now might be the next one rip everyth gopdeb"
-1," web stream and mobil app fail dure gopdeb whi am i not surpris"
0," john kasich help ohioan creat new job he can do it for america gopdeb"
-1,"pleas help the maryknol sister replac window in their convent cathol gofundm trcot gopdeb"
0,"trump just said is a true gentleman amp then they start violent ing gopdeb"
0," ugh will these guy ever shut up about how much they respect women gopdeb"
1," what did the gopdeb teach us about a futur presid trump america probabl wont be safe except if were attack"
-1," this is go to be a long tire elect season shock illinform candid at gopdeb"
0," scott walker cant even carri his own state gopdeb"
-1," black peopl if you need anymor indic whi republican hate us peep this gopdeb"
0," sure god told me i should run and the tooth fairi agre and all the teletubbi vote yes so here i am gopdeb"
0," trump should have told megyn kelli to go to hell foxnew gopdeb"
0," caller on the rush limbaugh showi have lost all respect for fox news foxnew gopdeb"
0,"s behaviour at the gopdeb was astonish bias"
0,"republican debat econom rubio win bush falter huckabe exagger gopdeb knowmorenotless"
0," huh half of clinton chariti went toth clinton copolit hillari stophillari uniteb"
2," gopdeb the order was to take out trump but i wonder if fox news was the one who took the order serious"
1," we all owe a huge thank you expos to the world chris wallac amp are true rhino"
-1," scott walker lie say wi budget has m surplus actual has b deficit gopdeb"
1,"your right last i heard was that onli women could give birth to s child has that chang gopdeb"
0," fox news gopdeb interview to candid what your take on these gop talk point im feed you"
0," but the murder of black ppl is just fine just not unborn black babi goplog gopdeb"
0," chris christi is realli stand out at the gopdeb"
-1," hey you know who didnt whine about unfair question grow a set whi dont ya gopd"
-1,"you cant be prolif and have watch that hour abort last night gopdeb forkedtongu iseeorangepeopl"
-2," you fail the american peopl tonight you tri to make histori by destroy kellyfai"
0," btw when you mix polit and religion you get polit gopdeb"
0," marco nail it on abort we must protect life gopdeb"
0," wtf was up with chris wallac attack trump on bankruptci then give rubio a softbal gopdeb"
0,"they obvious didnt get the memo about seersuckerthursday gopdeb"
2," honest donald trump you were all type of petti at last night gopdeb gt"
-1," all republican dope who say theyll take us back to on day one will never see one day in white hous gopdeb"
1,"trump gloat abt buy gopdem pol ampthem do his bid is my s billionair caricatur myacash gopdeb"
0," go car go car go car car gopdeb"
1," listen to the gopdeb like"
2," best moment of the gopdeb last night rand tell christi to go get anoth hug from obama"
-1," if you miss either gopdeb all you need to know is there no for struggl american and unlimit for war"
1," we are on the verg of the greatest time to be aliv in this world but washington is hold us back mysa txlege"
2," trump win drudg debat poll by a landslid tedcruz gopdeb pjnet"
0," fight back against what will you do abt immigr q say border is porous and that must be fix first"
-1,"summari is the gopdeb status quo shit show"
0," debbi block tweeter who question dem debat schedul gopdeb"
0," hey look it men stand on a stage argu whi they should get to control women bodi and choic gopdeb"
-1," last night at the gopdeb all i saw was a bunch of rich and old despot with zero solut to our nation problem un"
0," if you think ani of these peopl are qualifiedunfollow me gopdeb"
0,"whos the real illeg alien gopdeb farrakhan on immigr the mexican bor"
0,"gopdeb the talk head put on the debat now the talk head are tell us how the debat went mayb we wast our time watch"
2,"trump is right about but realli need to studi matthew vers gopdeb"
0," where do you think women should sleep when they have the curs the shed or in an open field not on your properti"
2,"i think god a pretti fair guy ben carson neurosurgeon on his belief modern day taxat should be base on an ancient book gopdeb"
-2," the cheer from gopdeb audienc aftertrump defiant name as the woman he call fat pig were the voic"
0,"blackliv dont matter appar to republican candid for presid or to uniteblu gopdeb"
0,"overal the main thing we learn from the gopdeb is that onli straight white men matter"
2," i thought had the best post gopdeb interview of the night gave them all a chanc straighten their posit"
0," hey if your still look to chip in check out gopdeb"
-2," chriswallac america is critic ur perform dure gopdeb bc u did a realli bad job as moder"
0," luntz as the line go up they almost reach it almost never happen in the dial research we do gopdeb rig"
3," i wish we could teach teenag girl to love themselv as much as donald trump love himself gopdeb"
0," conserv are a peopl without a network gopdeb"
1," how come there no talk about climat chang has anyon here even seen california right now gopdeb debatewithberni"
-2," last night they could have have rais their hand im a spoil billionair im an oligarch im a racist im a religi"
4,"gopdeb teamdrbencarson wow brilliant cool calm amp collectedempow"
1," under no circumst should men dictat abort right to women it the st centuri we are better than that"
1," gopdeb winner drudg k time k foxsd"
-2," in you chide for go from object moder to activ particip gopdeb"
-1,"gopdeb in you call a two time slut do you stand by that statement"
-1," never watch kellyfil again gopdeb question pander to make it about rate not"
0,"imho gopdeb winner marcorubio kasich donaldtrump loser scottwalk randpaul bencarson all other were complet forgett"
0," smaller govt ohio govern payrol is smaller than it been in decad gopdeb"
0," challeng the teacher union and beat them is the way to go jeb gopdeb"
0," the real war on women gopdeb"
-1," this trump vs fox news conflict is quit the conundrum it like the personif of greed vs hate who do i root"
0," i know how extraordinari this nation is gopdeb"
0," meanwhil in the white hous gopdeb"
0,"rubio still my prefer but i can see point of his critic over opportun inconsist gopdeb"
-1,"did ever tell to go wait in the car her bad attitud suggest it waronwomen gopdeb"
0," he was on fire s on fire debat perform gopdeb perri"
0," im get a lot of hatemail tonight gopdeb she is total overr and angri she"
0,"this liter couldnt be more true for me i watch the gopdeb amp all i got was a lousi hangov"
0,"jonvoyag was half as long as the gopdeb but twice as intellig"
-1," not a singl question in last night gopdeb about the most urgent issu of our time climat chang"
0,"gopdeb what was up with foxnew amp their gotcha question they seem design to elicit typic polit spin respons tlot"
0,"after the gopdeb all of the promis be made by startup at this tech confer seem quit reason"
1," amen trump wakeupamerica gopdeb tcot stoprush"
1," me watch the donald trump bandwagon pass tlot tcot gopdeb"
0," befor the gopdeb began didnt the moder say that million ppl were discuss racial issu what happen to thos"
1," there noth like listen to ten dude who will never need an abort talk about whether i should have a right"
0," fox silenc by koch billion too not a singl question at last night gopdeb to climatechang denier about mond"
1," these republican are rich they dont care about the poverti of america amp they definit dont care bout the poverti of bla"
-2,"catch up on my gopdeb what a childish amp cheap move to call out amp on a year old stori"
-1," all ted cruz doe is attack other republican gopdeb"
-1," icymi not just no but hell no to the irand gopdeb perri tcot"
3," if donald trump win the elect then well know were on the biffstolethealmanac timelin gopdeb"
1," chris christi just said you have to work two more year befor retiringand that youll get ten of thousand less you paid"
1," john kasich is readi to lead join the team clair gopdeb"
-2," the biggest loser in the debat were the fox moder who attack instead of moder gopdeb"
0," trump has yet to give a singl evidencebas answer to a direct question about polici that should frighten you gopdeb"
1," i honest think sometim these guy forgot they came from womb too kkkorgop gopdeb"
-2," women who shame other women for have abort deserv to be shame for have no soul or self respect plannedparen"
1," donald trump close statement is everi dinner convers had at the villag ever gopdeb"
-1," when the rich wage war it the poor who die jeanpaul sartr this is now gop foreign polici gopdeb"
-1,"at the gopdeb we saw the candid complet miss the mark on race amp blacklivesmatt"
2," so to the gop for be proud of defeat teacher union even though they just want higher wage gopdeb"
1," you got that right gopdeb"
0," trump just said the us is stupid so let vote him presid wtf peopl gopdeb"
0,"so excit for gopdeb kasichus republicandeb kasich been wait for year"
1,"hey look it my feel about donald trump sum up in one gif gopdeb"
1," marco rubio briefli back immigr reform then privat berat dreamer gopdeb"
0," i frenchkiss jesus christ everi candid gopdeb"
0,"gopdeb closingstat just be honest u were def talk about coz hes steal ur schtick"
-1,"when cnn msnbc and the new york time prais fox moder then you know the moder fuck up gopdeb"
1," trump is a lunat gopdeb"
0,"cruz has class amp truth that get my vote gopdeb"
0," assclown im the onli reason anyon is even talk about illeg immigr keep dig donald gopdeb"
0," tom hank final somebodi who make some sens gopdeb debatewithberni"
0," olivia pope would not vote for ani of these guy gopdeb"
0,"all gop candid want to reduc tax while huckabe want to legal prostitut and drug so we can tax it gopdeb"
0," hi fox panel can you just ask donald everi singl question hand him a shovel while your at it so he can keep dig"
1,"gopdeb trump is break record so what hes not a polish politician make me love him even more"
0," oh it was just a movi trailer gopdeb debatewithberni"
0," so salli kohn amp debbi wasserman schultz both prais megyn kelli tonight that should tell you everyth you need"
1,"whi are all the trump accessori women wear the same shoe gopdeb"
2,"and donald trump is an absolut nut so entertain lol gopdeb"
2," top gop pundit pick their gopdeb winner winnersfox news losersusa"
1," candid went after time in the gopdebatebut remain silent about the issu that affect us"
-1," tri show up w tri take him down tri destroy him not happen kelli"
0," mosttweet gopdeb moment for say he wouldnt public to the world his answer on waterboard"
1,"i give him a e for his big ego gopdeb as are earn for excel rhyme with rump"
1,"passion of the gopdeb religiousupamovi"
1," got the best review and deserv them read more of our nreditori recap of the gopdeb gt"
-1," brutal question to the assclown from megan kelli the lesson here be care what you tweet on twitter gopdeb"
1,"trump chang his mind on support partial birth abort becaus a friend chang their mind on abort amp had a great kid gopdeb"
1,"best close statement gopdeb"
2," we have to stop worri about be love amp start worri about be respect tellingitlik gopdeb"
1," trump sycoph want to know what s hidden agenda was last night answer is simpl it call a vagin"
2,"donald trump is a realli nasti piec of work hope he disappear quick gopdeb"
-2," fetus are not unborn babi they are cluster of cell stop shame peopl who wanthav had abort gopdeb"
1," these were far and away the best tweet of last night debatewithberni gopdeb"
0," despit what huckabe say i alway make sure my prostitut and her pimp pay fica and pension gopdeb"
2," did great by challeng the candid in gopdeb if these candid cant handl a tough question they could never b potus"
-1," id say it was the opposit megan kelli act like some sjw on tumblr whine about femin veri sad gopdeb"
2," right so frank right so gopdeb"
-1,"the number of time that ronald reagan is mention in the gopdeb is too damn high"
1," if trump is against pc cultur im sudden for it not even kid what a howl shitcav of a human gop"
1," bencarson great close he oper on brain so he doesnt worri about skin color gopdeb"
-1," women that would be offend by trump misogyni most certain dont vote republican find a new fake issu faux news"
0," keep religion out of polit gopdeb"
-1," boy i bet the mood in the clown car is go to be tens when these jerk leav the gopdeb"
2," dr ben carson did a great job tonight love your close statement gopdeb"
-1," behind the fox debat how the anchor hash out the question gopdeb they fail"
-1,"did anyon get trash play s gopdeb drink game drinkinggam"
2,"if donaldtrump donat to uhe can call in a favor year later sound like thegodfath not potus that legal gopdeb gopclowncar"
-1," ugh to think there were actual peopl sit on their couch last night say yes yes this is reason gopdeb"
1," if polit can be even partial ration trump campaign for the gop nomin just end gopdeb"
-2," scott walker choos kill mother rather than abort unborn embryo this is reason other countri give us that funni"
-1,"cant uniteblu abort is a talk point in the gopdeb sinc ppsellsbabypart"
0," close statement reminisc about an america that no longer exist after ted kennedi immigr and nation act g"
0," ted cruz is go to person take away your telescop and tri you as a witch gopdeb"
0," you kill it last night at the gopdeb glad to have some that care for america makeamericagreatagain"
0," when the gopdeb is more excit than anyth els on tv in the past year"
1," shiiiittt it tough to say who is make me more horni gopdeb"
1," the gopdeb was better than i thought itd be though candid finess issu with sound byte"
0," yes marco rubio actual said the iraq invas was not a mistak gopdeb"
1," marco rubio vote against unemploy benefit even though florida need them most gopdeb ht"
0,"jebbush was so thought in gopdeb rethink"
0," there will be a lot of job avail if bush serv term becaus most conserv will have commit suicid go"
1,"huh watch debat and so far the moder and the particip are better gopdeb"
-1," donald trump insult and all women and not one man on stage confront him none of them are worthi to be"
0," i was wait for to ask when did you stop beat your wife gopdeb"
1," about last night are you watch we got and all the good stuff from the gopdeb on"
0," earth to this aint about you gopdeb foxdeb megynkelli megynkellydebatequest"
-1,"fff highlight from this week includ nationalunderwearday the gopdeb and jonvoyag offici the worst week ever tgif"
0," of cours the assclown wont pledg not to run as a third parti candid gopdeb"
0,"paul krugman sum up what happend last night one of our two major parti has gone off the deep end gopdeb"
0," just rememb no matter win the gopdeb everyon who watch it lose alcoholpoison"
1," trump video it cost time more than the m it wouldv if it were be manag by gopdeb h"
0," you disgrac yourself last night gopdeb"
1," predict in the final gopdeb donald trump will tear off his missionimposs mask to reveal a smirk jon stewart"
-1,"fallon to jon stewart pleas come back i cant do it alon gopdeb polit"
1," ted cruz is angl himself to be a slight less looni version of donald trump gopdeb"
0,"meet the new darl of the left megyn gotcha kelli gopdeb donaldtrump megynkelli"
-2," that abort question disgust gopdeb"
2," and prais and they thought they did a good job gopdeb not a good thing"
0,"gopdeb a lesson for come month qualiti and not quantiti in word amp time for tangibl and believ propsal"
-1,"when cnn and the new york time are prais the moder you know they did it complet wrong gopdeb"
-1," display utmost author at gopdeb critic say"
-1," not one candid spoke up against trump massdeport plan amp not one condemn his racist comment latino wont forget"
1,"donald is my hero gopdeb"
0," the kryptonian scienc council was more worri about climat chang than these scari peopl gopdeb"
0,"withhold my veri valuabl presidenti endors until i hear about everyon point of view on the nd amend gopdeb"
-1," ronald reagan never had an abort with isi and women dont need them either basic everyon tonight gopdeb"
1," won the gopdeb last night onli candid who answer question direct and not afraid to take on tough issu"
0," mike huckabe was the star of the luntz focus group show when he spoke the feedback"
2,"watch the primetim gopdeb this afternoon i think was the real winner quiet but effect"
0," jeb is give me some serious janet reno tonight gopdeb"
1,"boomer r smart they know how to use internet for gopdeb cosproject jpnet"
-1," re china you deal with a playground bulli by punch them in the face amp put them on the ground bc they onli res"
0," lot of republican in my facebook and twitter timelin are tick at fox news for run that hatchet job of a debat gopdeba"
1,"i wont defend they were far from fair or balanc last night but name call is juvenil gopdeb"
0," hat off to ben carson for use the term use idiot re hillari clinton and the secular progress movement gopd"
-1," your fox team talk for minut of gopdeb while walker talk for your obvious goal was to ambush everyon pathet"
-1," i actual agre with on someth she said didnt hurt himself in gopdeb and i concur"
1," like ben carson brain mike huckabe heart marco rubio soul chris christi fight john kasich hope add car fi"
2," the gopdeb was like a super crappi cage fight of bluster bumbl old wrinkledup tuckus clincher without the ca"
-2," the militari is not a social experi the purpos of the militari is to kill peopl and break thing imwithhuck"
0," gopdeb kelli is no role model doesnt speak for me or my prof friend rosi now a real woman kelli is a poser"
1,"donald trump whatajok gopdeb"
2," this feel like fox news tri to be the cool parent that let their kid have a parti amp now the hous is on fire gopdeba"
0," it unconscion that moder ask all the candid except santorum foreign policyamp nat sec question i"
0," you are not pro life you are pro control you are pro religion you are pro you this is never about the mother gopdeba"
1," solid debat tip take a gander gopdeb teaparti tcot tlot icon"
1," creat job is our greatest moral purpos becaus they strengthen our famili amp communiti gopdeb"
2," magnific at the first gopdeb i support ted cruz as potus but would support you as run mate or pot"
0,"if your a woman who support r parti pleas wake up and get inform gopdeb"
1,"kasich the clear standout among gopdeb cannon fodder but his record contradict statement on lgbt accept"
1,"the anti unit of the clinton person destruct forc is now work im sure gopdeb"
1," my mother work nobodi gopdeb"
0," so we have american get behead oversea and is worri whether call rosi odonnel f"
1,"gopdeb real american idol elect as audit whose consent count amp how decis are made"
1,"elect democraci and polit debat as entertain not a particular sterl qualiti of our feder republ gopdeb"
-2," american fear not peopl who live in fear are not free and have no liberti fear is unamerican gopdeb"
1," gopdeb car fiorina domin social media even beat out trump fox nation"
2," i wonder if the gopdeb will address actual solut for climat chang and clean energi debatewithberni"
0," misogynist ignor xenophob and greedi anoth proof that money doe not buy class gopdeb go"
0," gopdeb usa serious would you vote for ani of these clown we need cirnow ainf tntvote"
0," disagre all you want gopdeb was hit job on and calcul mute job on"
-1,"i actual agre with on someth she said didnt hurt himself in gopdeb and i concur"
0," let take america from hope to higher ground will you help gt imwithhuck gopdeb"
-1," just got caught up on the gopdeb and felt like i should write a joke about it but the biggest joke of all was the whole"
-3," jeb make me want to blow rail with w befor we wreck his dad car gopdeb"
0,"keep religion out of polit gopdeb"
-2,"what is chris cristi on about re abort this is absurd gopdeb"
0,"im eat lunch out and these two old ladi discuss the gopdeb is give me life they shade shit outta christi and trump"
0," tonight gopdeb was an import remind that these guy think of women as carri case for fetus"
1," may the lord guid my word tonight let his wisdom be my thought gopdeb"
0," gopdeb pretti much"
1," trump liter said that he donat to politician and then call them later to get what he want he liter just said that"
-1,"gopdeb none of the presidenti candid brought a fuck gom jabbar i mean at least liven up your crazi"
0," he was just so eloquenth knew what he was say he believ what he was say imwithhuck gopdeb"
-1," factcheck prove scott walker liter lie more often than he tell the truth gopdeb ht"
0," i want to quiet walk out onto this stage and fivepointpalmexplodingheart all these hollow beast g"
0,"gopdeb debat was good onc they quit throw crap at and got substant candid handl the gotcha question"
0," these clown didnt even tackl climat chang they didnt mention inequ at all are you surpris gopdeb"
-1," are they go to ask lenni kravitz peni one question this is veri disrespect gopdeb"
1,"so who watch the gop debat last night and saw trump donaldtrump gopdeb trumpforpresid"
-1,"factcheck the gopdeb unsurprisingbutmass level of lie and truthstretch and general bullshitteri"
1,"wonder how much of tonight show will be about her gopdeb foxnew"
-1," gopdeb never lose focus on the truli import issu defundpp amp praytoendabort"
1," trump call a bimbo is reprehens this is about choos a candid for presid not the jerri spri"
0," not mention in the gopdeb vote right climat chang gun violenc polic shoot student debt inequ"
0," it almost time tune into at pm edt gopdeb car"
-1,"this is an amaz degre of commit to a run joke gopdeb photobomb"
1," focus group he was veri articul veri relat amp made a lot of good point imwithhuck gopdeb h"
1," gopdeb was still clown show im glad head clown trump help destroy gop"
0,"gop want to defundpp and huckabe want to legal prostitut and drug gopdeb"
0,"favorit jeb line take on the teacher union and beat them sure that empow kid disenfranchis the one who teach em gopdeb"
0," current mood re gopdeb"
0,"if the newest b was built in the s like huckabe complain doesnt that mean st ronni should have built more gopdeb"
0," perri say he would rather send to negoti with iran than john kerri gopdeb"
1,"not a fan of foxnew but she deserv better than to be call bimbo by ldonaldtrump for do her job gopdeb uniteblu"
1,"excel postgop debat analysi from my friend of gopdeb"
-3," i cant tell if these are just bad cramp or my uterus tri to flee the countri as i watch the gopdeb"
0," and now the realiz dawn on us holi shit ive been watch fox news gopdeb"
-1,"hey you know who didnt whine about unfair question grow a set whi dont ya gopdeb"
1," hillari spent the gopdeb with kim and kany this is what i love to see"
0,"john kasich seem like a decent guy shame hell drown out by the looni in the gop gopdeb"
1," my feel about trump after gopdeb"
0," in the end bingo gopdeb"
0,"chris christi said he was appoint us attorney sept he was actual appoint dec gopdeb"
-1,"chris christi fundament misunderstand the th amend amp got own by over nsa gopdeb"
3," fun fact in this parti of super patriot not a singl candid on stage has serv a day in the militari gopdeb"
1," thank you for speak out on govermentcartel makeamericagreatagain securethebord gopdeb"
0,"whos the real illeg alien america gopdeb farrakhan on immigr amp the mexican bor"
2,"which candid realli like hug the one word that defin each one gopdeb"
0," i assum you guy didnt boo a gay soldier this time onli becaus the opportun didnt aris rsg gopdeb"
1," said hed love his daughter if they were gay but his vote record say otherwis gopdeb"
3," my mother work their mother work your mother work nobodi mention their mother nobodi gopdeb"
2," gopdeb love fiorina smart and on point"
-1," as a remind less than percent of what plannedparenthood doe deal with abort but this debat wont tell you"
-2," gop base voter have been target by leftist terror campaign for year amp the gop establish relentless manipul that"
1," are you not entertain then trump throw a sever head into the crowd gopdeb"
3," im not realli sure about presid but ted cruz would make an excel marvel villain gopdeb tedcruz marvel"
-2," dure debat on terror dont expect anyon to bring up white supremacist organ engag in terror kkkor"
1," jon stewart can feel comfort wretir as gopdeb solv all problemsperson amp scientif"
2,"donald trump reagan was a con man who couldnt deliv the good thinkprogress gopdeb"
0,"gmadawni rt rhondawatkgwyn imwithhuck gopdeb th ccot tcot teaparti pjnet"
0,"gopdeb didnt offer a singl solut to ani salient issu"
-1,"gopdeb so which presidenti candid stuck their thing into the presidenti electr sharpen"
1," love that cruz introduc a bill to strip citizenship from american who join isi gopdeb"
0," serious trump is danger for the whole world gopdeb"
-2," would you realli let a mother die rather than have an abort was serious be ask of a presidenti hope"
1,"jeb bush i defund plan parenthood he is proud that he deni thousand of women access to life save healthcar gopdeb"
1," on gopdeb is a writer at the top of his game"
0," now we know rand strategi hes go after trump hes got noth to lose he is nowher anyway gopdeb"
-1,"credit where credit is due i was shock shock by trump cogent health care debat respons gopdeb"
-1," that conclud our debat pleas welcom the koch brother who will choos an ideolog broodmar from our whorestab"
1," amus to hear men who chose not to serv in the militari talk tough about use other peopl kid to backup their b"
1,"is god go to be like the copresid or someth gopdeb eleventhdebat"
0," id pay some serious to watch someon grill these egomaniac bulli in an interview gopdeb kellyfil"
2,"kind of glad i didnt get to watch the gopdeb yesterday better for my mental health"
1," i swear to god if anoth cis white man speak on abort like they know what it like be pregnant gopdeb"
0," gopdeb trump too selfish amp immatur to have power"
1," ten rich narcissist spout nihilist applaus line is not a debat it is a zeitgeist gopdeb"
1,"realli thought had a solid perform last night gopdeb"
1,"smartest amp wisest man in the room last night bare got ani speak time im a littl salti about that gopdeb"
2," had a good nighth did well tonight imwithhuck gopdeb"
0," hey megan kelli ask kelli osbourn how attack me this week work out for her gopdeb"
0," get power respons from focus group kellyfil gopdeb"
0,"whi is god amp religion import in an elect religion shouldnt play a part in the decis make in your countri gopdeb"
-1,"that pose is so awkward who in the hell did she work with shes stiff not natur kinda like the gopdeb last night"
-1," the discuss of racist polic violenc was over befor i finish type that tweet gopdeb kkkorgop"
1," cruzcrew the outsid alway tell the truth honor commit gopdeb"
-1," jebbush tell me more about this hang em by the neck wing of your partygopdeb kkkorgop"
1,"i dont care if you think you dont have time to be pc be respect to women is someth that should be in your natur gopdeb"
-1," ben carson no one seem to see me or care what i have to say but racism doesnt exist kkkorgop gopdeb"
0,"it not a coincid that you couldnt watch the gopdeb unless you had cabl"
0," im at the gopdeb after parti rand paul couldnt get in sinc the bar were at doesnt allow poodl"
-2," think high rate for gopdeb were becaus of her hate to break it to you honey"
-1,"walk out of a restaur last night even befor my meal came feel sick to my stomach gopdeb"
1," two debat one winner car car gopdeb"
-2,"gopdeb both debat stage were so fill with liar traitor doubletalk cheater deceiv misogynist it stunk to high heaven"
0," surpris surpris think tran life is a social experi gopdeb"
-2," biggest loser in the gopdeb were and chris wallac cynic arrog condescend gameshow host"
0," crazi day fun night exhaust week this is moment befor the gopdeb fire up for the big event"
0," call it gopdeb cruztovictori"
-1," did you ask romney if his moment had pass would you have ask reagan in the same worst question of the gopdeb"
2," theyr talk about hilari like shes john wick i love it gopdeb"
0,"strang god told me not to vote for them gopdeb"
0,"trumptast gopdeb"
0," us economi ad job in juli this must be the result of jobkil obamacar republican talk about last nig"
1," was one of the biggest winner thursday night without even step on the primetim stage gopdeb"
1,"re gopdeb sure it all fun and game until one of these wacko has his finger on the big red button"
0," absolut i have author kate law the leader of our own parti block kate law cruzcrew gopdeb"
0,"trump should have told megyn kelli to go to hell foxnew gopdeb"
2,"everyon still talk about what a great job did at the gopdeb last night articul and veri good point made"
0,"chris christi prolif republican should never apolog for be prolif gopdeb"
1," pffft sinc when doe fox care about ladi viewer plus megyn sole goal in the gopdeb was to come out the winner"
-2," last time i heard stupid amp idiot use so liber in a debat was dure a race for the presid of my kindergarten"
0,"i had to laugh when huck mention the pimp get em all mike imwithhuck gopdeb th ccot tcot"
1," my messag from the spin room to univis the winner of the gopdeb tonight was next year democrat nomine"
0," overnight s gopdeb had a household rate the biggest gop debat in had rate"
1," donald trump to rand paul tonight gopdeb"
