"score","text"
-1," mosttweeted  gopdebate moment saying purpose of military to kill peoplebreak things re trans servicemembers"
0," big moments were  vs  and  reaction to women question kellyfil‚Ä"
-1," heres a question why in the hell are women amp our body parts even in this debate foh stop it its not  wtf gopdebate‚Ä"
-1," americans getting beheaded overseas and  is worried whether  calls rosie odonnell fat gopdebate"
1," i wont defend  they were far from fair or balanced last night but name calling is juvenile gopdebate"
0," to nonchristians gopdebate god questions underline how little anyone really cares about religious minorities chri‚Ä"
0," the gopdebate response to blacklivesmatter was pathetic "
0," said he cut fl taxes by b but that includes cuts in estate taxes mandated by federal law gopdebate ht‚Ä"
-1," dear gop
if you want to stop abortions 

gopdebate 
"
-1," join isis and sign your death warrant
signed  next president of the usÛì

gopdebate wakeupamerica cruzcrew htt‚Ä"
0," gopdebate closing statements "
-1," status ˇëâ single 

i broke up with  last night   goodbye   amp chris wallace

gopdebate Ä"
1," before the gopdebate  focus groupers said they had favorable view of trump

after only  saw him positively  Ä"
1," just made my first donation to 
so impressed by her gopdebate performance
fiorina "
-1," if we want to stop sending foreign aid to places that burn our flag can we start with berkeley gopdebate"
0," donald trumps campaign reveals  important thing twitter trolls are real people

and they vote 

that should scare eve‚Ä"
1," those saying dont worry trump will never be elected need to remember we elected george bush twice gopdebate Ä"
1,"fox news had its own gopdebate agenda promote carly never mention fired from hp fiorina amp run trump out of race "
2," oh one more thing did anyone hear anything about affordable child care for working families last night in the gopdebate  i‚Ä"
0,"  dear  gopdebate notamistake "
-1,"  gopdebate bill and martha were the a team in the first debate nd debate was an ambush"
-1,"the countrys going to hell and megyn kelly on foxnews is attacking trump for a war on women gopdebate"
0," st gopdebateencouraging to see several candidates express their faith in god and his son jesus christ Ä"
0," donaldtrump said he‚Äôs not ‚Äúpolitically correct‚Äù  which of course is trumpspeak for ‚Äúlet‚Äôs face it i‚Äôm huge asshole‚Äù ‚Ä"
0," a message to the gopdebate candidates "
-1," this is the worst episode of the apprentice that ive ever seen gopdebate"
-2," the purpose of the military is to kill people and break things  something an actual man running for president just said ‚Ä"
1,"wondering if i could get the republican party to pay for my liver transplant after playing  gopdebate drinking game last night"
1," great way to start friday carlyfiorina  gopdebate "
0," if elected on my first day as president ill rescind every illegal and unconstitutional executive order enacted by pres oba‚Ä"
-1,"they‚Äôre all todd akin now how the planned parenthood sting backfired on republicans gopdebate standwithpp 
"
-1," hey  let republicans digest gopdebate before allowing crazy  to trash our gop  Ä"
1," watch donald trump receive enormous applause for horribly misogynistic gopdebate answer  Ä"
3,"even though shes a super conservative reporter i actually like megyn kellys interview style amp she did great at the gopdebate"
0," the gopdebate is not a debate at all its a series of  minute opportunities to avoid answering a question one candidate‚Ä"
-1," credit for this joke goes to someone else but it is funny gopdebate "
0," simply incredible  last nights gopdebate doubled the previous record for mostwatched primary debate i‚Ä"
0," this literally couldnt be more true for me i watched the gopdebate amp all i got was a lousy hangover Ä"
0," haha a little saas from  this morning towards  factchecked gopdebate "
0," what people saw in person vs what we saw on tv gopdebate "
0," marco rubio told to his face hes candidate of yesterday for his antigay bigotry  gopdebate ht‚Ä"
0," none of them have made trump look out of place or foolish yet think about that when youre done crying think about it agai‚Ä"
1,"had a great time watching the gopdebate last night "
0," gopdebate donald trump says that he doesnt have time for political correctness how does calling women fat pigs save him ‚Ä"
-1," this is the  we have now one of the people on tv now might be the next one rip everything gopdebate Ä"
-1," web stream and mobile app fail during gopdebate‚Äù ‚Ä why am i not surprised "
0," john kasich helped ohioans create  new jobs he can do it for america gopdebate "
-1,"please help the maryknoll sisters replace windows in their convent  catholic gofundme trcot gopdebate"
0,"trump just said  is a true gentleman amp then they started violently ing gopdebate"
0," ugh will these guys ever shut up about how much they respect women gopdebate"
1," what did the gopdebate teach us about a future president trump  america probably won‚Äôt be safe except if we‚Äôre attacked ‚Ä"
0," this is going to be a long tiring election season 
shockingly illinformed candidates at gopdebate
Ä"
0," scott walker cant even carry his own state gopdebate"
-1," black people if you need anymore indication why republicans hate us peep this gopdebate "
0," sure god told me i should run and the tooth fairy agreed and all the teletubbies voted yes so here i am gopdebate"
0," trump should have told megyn kelly to go to hell foxnews gopdebate"
0," caller on the rush limbaugh showi have lost all respect for fox news foxnews gopdebate"
0,"s behaviour at the gopdebate was astonishingly biased"
0,"republicans debate economics rubio wins bush falters huckabee exaggerates  gopdebate knowmorenotless "
0," huh half of clintons charity went tothe clintons  copolitics hillary stophillary uniteb‚Ä"
2," gopdebate  the order was to take out trump but i wonder if fox news was the one who took the order seriously "
1," we all owe  a huge thank you  exposing to the worldˇëâ chris wallace amp  are true rhinos‚Ä"
-1," scott walker lies says wi budget has m surplus actually has b deficit  gopdebate Ä"
1,"youre right last i heard  was that only women could give birth to s child has that changed gopdebate  "
0," fox news gopdebate interviewer to candidates whats your take on these gop talking points im feeding you"
0," but the murder of black ppl is just fine just not unborn black babies goplogic gopdebate"
0," chris christie is really standing out at the gopdebate"
-1," hey  you know who didnt whine about unfair questions  grow a set why dont ya gopde‚Ä"
-1,"you cant be prolife and have watched that  hour abortion last night
gopdebate forkedtongue iseeorangepeople"
-2,"
you failed the american people tonight 
you tried to make history by destroying  kellyfai‚Ä"
0," btw when you mix politics and religion you get politics gopdebate"
0," marco nailed it on abortion we must protect life gopdebate "
0,"   wtf was up with chris wallace attacking trump on bankruptcy then giving rubio a softball gopdebate"
0,"they obviously didnt get the memo about seersuckerthursday gopdebate "
2," honestly donald trump you were all types of petty at last nights gopdebate ˇòí gt  "
-1," all republican dopefuls who say theyll take us back to  on day one will never see one day in white house gopdebate‚Ä"
1,"trump gloating abt buying gopdem pols ampthem doing his bidding is my s billionaire caricature myacash gopdebate "
0," go carlyˇì
go carlyˇì
go carlyˇì
 carly gopdebate
    Ä"
1," listening to the gopdebate like "
2," best moment of the gopdebate last night rand telling christie to go get another hug from obama"
-1," if you missed either gopdebate all you need to know is theres no  for struggling americans and unlimited  for war"
1," we are on the verge of the greatest time to be alive in this world but washington is holding us back mysa txlege ‚Ä"
2," trump wins drudge 
debate poll 

‚ûÔè by a landslide 

tedcruz  

gopdebate pjnetˇáˇá  
‚òëÔè  Ä"
0," fights back against what will you do abt immigration q says border is porous and that must be fixed first ‚Ä"
-1,"summary is the gopdebate status quo shit show"
0," debbie blocks tweeter who questioned dem debate schedule   gopdebate  Ä"
0," hey look it‚Äôs  men standing on a stage arguing why they should get to control women‚Äôs bodies and choices gopdebate"
-1," last night at the gopdebate all i saw was a bunch of rich and old despots with zero solutions to our nations problems un‚Ä"
0," if you think any of these people are qualifiedunfollow me  gopdebate"
0,"whos the real illegal alien gopdebate  farrakhan on immigration  the mexican bor  "
0,"gopdebate the talking heads put on the debate now the talking heads are telling us how the debates went maybe we wasted our time watching"
2,"trump is right about  but really needs to study matthew  verses  gopdebate  "
0," where do you think women should sleep when they have the curse the shed or in an open field not on your property ‚Ä"
2,"i think gods a pretty fair guy ben carson neurosurgeon on his belief modern day taxation should be based on an ancient book
gopdebate"
-2," the cheers from gopdebate  audience aftertrump defiantly named  as the woman he called fat pig were the voices ‚Ä"
0,"blacklives dont matter apparently to republican candidates for president    or to  uniteblue gopdebate"
0,"overall the main thing we learned from the gopdebate is that only straight white men matter"
2," i thought  had the best post gopdebate interviews of the night gave them all a chance straighten their position"
0," hey  if youre still looking to chip in check out 

gopdebate"
-2,"  chriswallace america is criticizing ur performances during gopdebate bc u did a really bad job as moderators"
0,"‚Äú luntz as the lines go up they almost reach  it almost never happens in the dial research we do gopdebate rigged"
3," i wish we could teach teenage girls to love themselves as much as donald trump loves himself gopdebate"
0," conservatives are a people without a network 

gopdebate "
1," how come theres no talk about climate change has anyone here even seen california right now gopdebate debatewithbernie"
-2," last night they could have have raised their hands im a spoiled billionaire im an oligarch im a racist im a religi‚Ä"
4,"gopdebate  teamdrbencarson   wow brilliant cool calm amp collectedempowering"
1," under no circumstances should  men dictate abortion rights to women its the st century we are better than that‚Ä"
0," gopdebate winner
drudge  k  
time  k  
foxsd   Ä"
-2,"  in  you chided  for going from objective moderator to active participant gopdebate Ä"
-1,"gopdebate    in you called  a two timing slut  do you stand by that statement"
-1," ‚òë never watch kellyfile again

 gopdebate questions 
 pandering to  
 making it about ratings notˇáˇá Ä"
0,"imho gopdebate 
winners marcorubio kasich donaldtrump 
losers scottwalker randpaul bencarson 
all others were completely forgettable"
0," smaller govt ohio government payroll is smaller than its been in  decades  gopdebate Ä"
0," challenging the teachers unions and beating them is the way to go ‚Äì jeb  gopdebate"
0," the real war on women   gopdebate "
-1," this trump vs fox news conflict is quite the conundrum it‚Äôs like the personification of greed vs hate who do i root‚Ä"
0," i know how extraordinary this nation is gopdebate"
0," meanwhile in the white house  gopdebate "
0,"rubio still my preference but i can see point of his critics over opportunism inconsistency gopdebate"
-1,"did  ever tell  to go wait in the car her bad attitude suggests it waronwomen gopdebate"
0," he was on fire s on fire debate performance  gopdebate perry"
0," im getting a lot of  hatemail tonight ˇòÜ gopdebate she is totally overrated and angry she‚Ä"
0,"this literally couldnt be more true for me i watched the gopdebate amp all i got was a lousy hangover  "
0,"jonvoyage was half as long as the gopdebate  but twice as intelligible"
-1," not a single question in last nights gopdebate about the most urgent issue of our time climate change"
0,"gopdebate what was up with foxnews amp their gotcha questions they seemed designed to elicit typical political spin responses tlot"
0,"after the gopdebate all of the promises being made by startups at this tech conference seem quite reasonable"
1," amen trump wakeupamerica gopdebate tcot stoprush Ä"
1," me watching the donald trump bandwagon pass 
tlot tcot gopdebate "
0," before the gopdebate began didnt the moderators say that  million ppl were discussing racial issues what happened to thos‚Ä"
1," theres nothing like listening to ten dudes who will never need an abortion talk about whether i should have a right ‚Ä"
0," fox silenced by koch billions too not a single question at last nights gopdebate to climatechange deniers about mond‚Ä"
1," these republicans are rich they dont care about the poverty of america amp they definitely dont care bout the poverty of bla‚Ä"
-2,"catching up on my gopdebate  what a childish amp cheap move to call out  amp  on a  year old story"
-1," all ted cruz does is attack other republicans gopdebate"
-1," icymi not just no but hell no to the irandeal gopdebate perry tcot "
3," if donald trump wins the election then well know were on the biffstolethealmanac timeline gopdebate"
1," chris christie just said you have to work two more years before retiringand that youll get tens of thousands less you paid‚Ä"
1," john kasich is ready to lead join the team claire  

gopdebate "
-2," the biggest losers in the debate were the fox moderators who attacked instead of moderating gopdebate"
0," trump has yet to give a single evidencebased answer to a direct question about policy that should frighten you gopdeb‚Ä"
1," i honestly think sometimes these guys forgot they came from wombs too kkkorgop gopdebate  "
-2," women who shame other women for having abortions deserve to be shamed for having no soul or self respect 

plannedparen‚Ä"
0," donald trump‚Äôs closing statement is every dinner conversation had at the villages ever gopdebate"
-1," when the rich wage war its the poor who die jeanpaul sartre 
this is now gop foreign policy 
gopdebate"
-1,"at the gopdebate we saw the candidates completely miss the mark on race amp blacklivesmatter
 "
2," so to the gop for being proud of defeating teachers union even though they just wanted higher wages gopdebate"
1,"  you got that right gopdebate"
0," trump just said the us is stupid so lets vote him president wtf people gopdebate"
0,"so excited for  gopdebate kasichus republicandebate kasich been waiting for  years"
1,"hey look its my feelings about donald trump summed up in one gif gopdebate "
1," marco rubio briefly backed immigration reform then privately berated dreamers  gopdebate Ä"
0," ‚Äúi frenchkissed jesus christ‚Äù  every candidate gopdebate"
0,"gopdebate closingstatements  just be honest u were defs talking about  coz hes stealing ur schtick"
-1,"when cnn msnbc and the new york times praise fox moderators then you know the moderators fucked up gopdebate"
1," trump is a lunatic gopdebate"
0,"cruz has class amp truth that gets my vote gopdebate"
0," assclown im the only reason anyone is even talking about illegal immigration keep digging donald gopdebate"
0," tom hanks finally somebody who makes some sense gopdebate debatewithbernie"
0," olivia pope would not vote for any of these guys gopdebate"
0,"all gop candidates want to reduce taxes while huckabee wants to legalize prostitution and drugs so we can tax it gopdebate"
0," hi fox panel can you just ask donald every single question hand him a shovel while youre at it so he can keep digging ‚Ä"
1,"gopdebate trump is breaking records so what hes not a polished politician makes me love him even more  "
0," oh it was just a movie trailer gopdebate debatewithbernie"
0," so sally kohn amp debbie wasserman schultz both  praising megyn kelly tonight that should tell you everything you need ‚Ä"
1,"why are all the trump accessory women wearing the same shoes  gopdebate "
2,"and donald trump is an absolute nut so entertaining lol gopdebate"
2," top gop pundits pick their gopdebate winners  
winnersfox news
losersusa"
1," candidates went after   times in the gopdebatebut remained silent about the issues that affect us Ä"
-1," trying show up  w  trying take him down trying destroy him not happening kelly‚Ä"
0," mosttweeted gopdebate moment for  saying he wouldnt publicize to the world his answer on waterboarding"
1,"i give him a e for his big ego gopdebate as are earned for excellence rhymes with rump"
1,"passion of the gopdebate religiousupamovie"
1," got the best reviews and deserved them read more of our nreditorial recap of the gopdebate gt Ä"
-1," brutal question to the assclown from megan kelly the lesson here be careful what you tweet on twitter gopdebate"
1,"trump changed his mind on supporting partial birth abortion because a friend changed their mind on aborting amp had a great kid gopdebate"
1,"best closing statement  gopdebate"
2," we have to stop worrying about being loved amp start worrying about being respected tellingitlikeitis gopdebate
Ä"
1," trump sycophants want to know what s hidden agenda was last night answer is simple its called a vagin‚Ä"
2,"donald trump is a really nasty piece of work hope he disappears quickly gopdebate"
-2," fetuses are not unborn babies they are clusters of cells stop shaming people who wanthave had abortions gopdebate"
1," these were far and away the best tweets of last night debatewithbernie gopdebate "
0," despite what huckabee says i always make sure my prostitute and her pimp pay fica and pension gopdebate"
2," did great by challenging the candidates in gopdebate if these candidates cant handle a tough question they could never b potus"
-1," i‚Äôd say it was the opposite megan kelly acted like some sjw on tumblr whining about feminism very sad gopdebate  Ä"
2," rightly so frank rightly so gopdebate  "
-1,"the number of times that ronald reagan is mentioned in the gopdebate is too damn high"
1," if trump is against pc culture im suddenly  for it not even kidding what a howling shitcave of a human gop‚Ä"
1," bencarson great close he operates on brains so he doesnt worry about skin color gopdebate"
-1," women that would be offended by trumps misogyny most certainly dont vote republican

find a new fake issue faux news

‚Ä"
0," keep religion out of politics gopdebate"
-1," boy i bet the mood in the clown car is going to be tense when these jerks leave the gopdebate"
2," dr ben carson did a great job tonight loved your closing statement  gopdebate"
-1,"‚Äú behind the fox debate how the anchors hashed out the questions gopdebate they failed"
-1,"did anyone get trashed playing s gopdebate drinking game   drinkinggame"
2,"if donaldtrump donates to uhe can call in a favor years later sounds like thegodfather
not potus thats legal
gopdebate gopclowncar"
-1," ugh to think there were actually people sitting on their couch last night saying yes yes this is reasonable gopdebate"
1," if politics can be even partially rational trumps campaign for the gop nomination just ended gopdebate"
-2," scott walker chooses killing mother rather than aborting unborn embryo this is reason other countries give us that funny ‚Ä"
-1,"cant uniteblue abortion is a talking point in the gopdebate since ppsellsbabyparts"
0," closing statements reminisce about an america that no longer exists after ted kennedy‚Äôs  immigration and nationality act g‚Ä"
0," ted cruz is going to personally take away your telescope and try you as a witch gopdebate"
0," you killed it last night at the gopdebate glad to have some that cares for america  makeamericagreatagain"
0," when the gopdebate is more exciting than anything else on tv in the past  years"
1," shiiiittt its tough to say who is making me more horny gopdebate"
1,"   the gopdebate was better than i thought itd be though candidates finessed issues with sound bytes"
0," yes marco rubio actually said the iraq invasion was not a mistake  gopdebate Ä"
1," marco rubio voted against unemployment benefits even though florida needs them most  gopdebate ht‚Ä"
0,"jebbush was so thoughtful in gopdebate  rethink "
0," there will be a lot of jobs available if bush serves  terms because most conservatives will have committed suicide go‚Ä"
1,"huh watching  debate  and so far the moderators and the participants are better gopdebate"
-1," donald trump insulted  and all women and not one man on stage confronted him none of them are worthy to be ‚Ä"
0," i was waiting for  to ask  when did you stop beating your wife gopdebate Ä"
1," about last night are you watching   we got  and all the good stuff from the gopdebate on ‚Ä"
0," earth to  this aint about you 

gopdebate 
foxdebate 
megynkelly 
megynkellydebatequestions Ä"
-1,"fff highlights from this week include nationalunderwearday the gopdebate and jonvoyage officially the worst week ever
tgif"
0," of course the assclown wont pledge not to run as a third party candidate gopdebate"
0,"paul krugman sums up what happended last night one of our two major parties has gone off the deep end  gopdebate"
0," just remember no matter wins the gopdebate everyone who watched it loses alcoholpoisoning"
1," trump video it cost  times more than the m it wouldve if it were being managed by  gopdebate h‚Ä"
0," you disgraced yourself last night gopdebate"
1," prediction in the final gopdebate donald trump will tear off his missionimpossible mask to reveal a smirking jon stewart"
-1,"fallon to jon stewart please come back i can‚Äôt do it alone  gopdebate politics"
1," ted cruz is angling himself to be a slightly less loony version of donald trump gopdebate"
0,"meet the new darling of the left „Äã megyn gotcha kelly gopdebate  donaldtrump megynkelly"
-2," that abortion question ‚Äî disgusting gopdebate"
2," and  praised  and they thought they did a good job gopdebate 
not a good thing"
0,"gopdebate a lesson for coming months quality and not quantity in words amp time for tangible and believable propsals
"
-1,"when cnn and the new york times are praising the  moderators you know they did it completely wrong gopdebate"
-1," displayed utmost authority at  gopdebate critic says  "
-1," not one candidate spoke up against trumps massdeportation plan amp not one condemned his racist comments latinos wont forget‚Ä"
1,"donald is my hero 
 gopdebate "
0," the kryptonian science council was more worried about climate change than these scary people gopdebate"
0,"withholding my very valuable presidential endorsement until i hear about everyones point of view on the nd amendment gopdebate"
-1," ronald reagan never had an abortion with isis and women dont need them either  basically everyone tonight gopdebate"
1," won the gopdebate last night only candidate who answered questions directly and not afraid to take on tough issues"
0," mike huckabee was the star of the luntz focus group show when he spoke the feedback ‚Ä"
2,"watching the primetime gopdebate this afternoon i think  was the real winner quiet but effective"
0," jeb is giving me some serious janet reno tonight gopdebate "
1,"boomers r smart they know how to use internet for gopdebate      cosproject jpnet "
-1," re china you deal with a playground bully by punching them in the face amp putting them on the ground bc they only res‚Ä"
0," lots of republicans in my facebook and twitter timelines are ticked at fox news for running that hatchet job of a debate gopdeba‚Ä"
1,"i wont defend  they were far from fair or balanced last night but name calling is juvenile gopdebate"
0," hats off to ben carson for using the term useful idiots re hillary clinton and the secular progressive movement gopd‚Ä"
-1," your fox team talked for  minutes of gopdebate while walker talked for  your obvious goal was to ambush everyone pathetic"
-1," i actually agree with  on something she said  didnt hurt himself in gopdebate and i concur"
1," like ben carsons brain mike huckabees heart marco rubios soul chris christies fight john kasichs hope add carly fi‚Ä"
2," the gopdebate was like a super crappy cage fight of blustering bumbling old wrinkledup tuckus clinchers without the ca‚Ä"
-2," the military is not a social experiment the purpose of the military is to kill people and break things imwithhuck ‚Ä"
0," gopdebate kelly is no role model doesnt speak for me or my prof friends rosie now a real woman  kelly is a poser"
1,"donald trump whatajoke gopdebate"
2," this feels like fox news tried to be the cool parents that let their kids have a party amp now the house is on fire gopdeba‚Ä"
0," its unconscionable that  moderators asked all the candidates except santorum foreign policyamp nat sec questions i‚Ä"
0," you are not pro life you are pro control you are pro religion you are pro you  this is never about the mother gopdeba‚Ä"
1," solid debate tips  take a gander 



gopdebate teaparty 
tcot tlot icon Ä"
1," creating jobs is our greatest moral purpose because they strengthen our families amp communities gopdebate Ä"
2," magnificent at the first gopdebate i support ted cruz as potus but would support you as running mate or pot‚Ä"
0,"if youre a woman who supports r party please wake up and get informed gopdebate"
1,"kasich the clear standout among gopdebate cannon fodder but his record contradicts statements on lgbt acceptance "
1,"the anti  unit of the clinton personal destruction force is now working  im sure gopdebate "
0," my mother worked
 nobody 
gopdebate"
0," so we have americans getting beheaded overseas and  is worried whether  calls rosie odonnell f‚Ä"
0,"gopdebate real ‚Äúamerican idol‚Äù elections as auditions whose consent counts amp how decisions are made "
1,"elections democracy and political debates as entertainment  not a particularly sterling quality of our federal republic  gopdebate"
-2,"  americans fear not people who live in fear are not free and have no liberty fear is unamerican gopdebate"
1," gopdebate carly fiorina dominates social media even beating out trump  fox nation "
2," i wonder if the gopdebate will address actual solutions for climate change and clean energy debatewithbernie"
0," misogynist ignorant xenophobic and greedy another proof that money does not buy class gopdebate go‚Ä"
0," gopdebate usa seriously would you vote for any of these clowns we need cirnow ainf tntvote Ä"
0," disagree all you want

gopdebate was hit job on  and calculated mute job on  Ä"
-1,"i actually agree with  on something she said  didnt hurt himself in gopdebate and i concur"
0," lets take america from hope to higher ground will you help gt  imwithhuck gopdebate Ä"
-1," just got caught up on the gopdebate and felt like i should write a joke about it but the biggest joke of all was the whole‚Ä"
-3," jeb makes me want to blow rails with w before we wreck his dad‚Äôs car gopdebate"
0,"keep religion out of politics gopdebate"
-2,"what is chris cristie on about re abortions this is absurd gopdebate"
0,"im eating lunch out and these two old ladies discussing the gopdebate is giving me life they shading shit outta christie and trump"
0," tonights gopdebate was an important reminder that these guys think of women as carrying cases for fetuses"
1," may the lord guide my words tonight let his wisdom be my thoughts gopdebate"
0," gopdebate pretty much "
1," trump literally said that he donates to politicians and then calls them later to get what he wants he literally just said that‚Ä"
-1,"gopdebate none of the presidential candidates brought a fucking gom jabbar i mean at least liven up your crazy"
0," he was just so eloquenthe knew what he was saying he believed what he was saying imwithhuck gopdebate
Ä"
-1," factcheckers proved scott walker literally lies more often than he tells the truth  gopdebate ht‚Ä"
0," i want  to quietly walk out onto this stage and fivepointpalmexplodingheart all these hollow beasts g‚Ä"
0,"gopdebate debate was good once they quit throwing crap at  and got substantive  candidates handled the gotcha questions"
0," these clowns didnt even tackle climate change they didnt mention inequality at all are you surprised gopdebate Ä"
-1," are they going to ask lenny kravitzs penis one question this is very disrespectful gopdebate"
1,"so who watched the gop debate last night and saw trump donaldtrump gopdebate  trumpforpresident"
-1,"factchecking the gopdebate 

unsurprisingbutmassive levels of lies and truthstretching and general bullshittery"
1,"wonder how much of tonights  show will be about her  gopdebate foxnews"
-1," gopdebate never lose focus on the truly important issues defundpp amp praytoendabortion "
1," trump calling  a bimbo is reprehensible this is about choosing a candidate for president not the jerry spri‚Ä"
0," not mentioned in the gopdebate
voting rights
climate change
gun violence
police shootings
student debt
inequality"
0," it‚Äôs almost time tune into  at  pm edt gopdebate carly "
-1,"this is an amazing degree of commitment to a running joke  gopdebate photobomb"
1," focus group he was very articulate very relatable amp made a lot of good points imwithhuck gopdebate
h‚Ä"
1," gopdebate was still clown show im glad head clown trump helping destroy gop "
0,"gop wants to defundpp and huckabee wants to legalize prostitution and drugs  gopdebate"
0,"favorite jeb line taking on the teachers unions and beating them sure that empowers kids disenfranchise the ones who teach em gopdebate"
0," current mood re gopdebate "
0,"if the newest b was built in the s like huckabee complained doesnt that mean st ronnie should have built more gopdebate"
0," perry says he would rather send  to negotiate with iran than john kerry gopdebate"
1,"not a fan of foxnews  but she deserves better than to be called bimbo by ldonaldtrump for doing her job

gopdebate uniteblue"
1,"excellent postgop debate analysis from my friend  of    gopdebate"
-3," i cant tell if these are just bad cramps or my uterus trying to flee the country as i watch the gopdebate"
0," and now the realization dawns on us holy shit ive been watching fox news gopdebate"
-1,"hey  you know who didnt whine about unfair questions  grow a set why dont ya gopdebate"
1," hillary spent the gopdebate with kim and kanye  this is what i love to see  Ä"
0,"john kasich seems like a decent guy shame hell drowned out by the loonies in the gop gopdebate"
1," my feelings about trump after gopdebate "
0," in the end bingo gopdebate "
0,"chris christie said he was appointed us attorney sept   he was actually appointed dec   gopdebate "
-1,"chris christie fundamentally misunderstands the th amendment amp got owned by  over nsa  gopdebate"
3," fun fact in this party of super patriots not a single candidate on stage has served a day in the military

gopdebate"
1," thank you  for speaking out on govermentcartel 

makeamericagreatagain  securetheborder gopdebate Ä"
0,"whos the real illegal alien america  gopdebate  farrakhan on immigration amp the mexican bor  "
2,"which candidate really likes hugs the one word that defined each ones gopdebate  "
0," i assume you guys didnt boo a gay soldier this time only because the opportunity didnt arise rsg gopdebate Ä"
1," said he‚Äôd love his daughters if they were gay but his voting record says otherwise gopdebate "
0," my mother worked
their mothers worked
your mothers worked
nobody mentioned their mothers
nobody
gopdebate"
2," gopdebate loving fiorina smart and on point"
-1," as a reminder less than  percent of what plannedparenthood does deals with abortions but this debate wont tell you ‚Ä"
-2," gop base voters have been targeted by leftist terror campaigns for years amp the gop establishment relentlessly manipulates that‚Ä"
1," are you not entertained then trump throws a severed head into the crowd gopdebate"
3," im not really sure about president but ted cruz would make an excellent marvel villain gopdebate tedcruz marvel"
-2," during debates on terrorism dont expect anyone to bring up white supremacist organizations engaging in terrorism kkkor‚Ä"
1," jon stewart can feel comfortable wretirement as gopdebate solved all problemspersonal amp scientific "
2,"donald trump reagan was a con man who couldnt deliver the goods  thinkprogress
gopdebate "
0,"gmadawny rt rhondawatkgwyn imwithhuck gopdebate th ccot tcot teaparty pjnet "
0,"gopdebate didnt offer a single solution to any salient issues"
-1,"gopdebate so which presidential candidate stuck their thing into the presidential electric sharpener"
1," love that cruz introduced a bill to strip citizenship from americans who join isis 
gopdebate "
0," seriously trump is dangerous for the whole world gopdebate"
-1," would you really let a mother die rather than have an abortion

was seriously being asked of a presidential hopeful‚Ä"
1,"jeb bush i defunded planned parenthood

he is proud that he denied thousands of women access to life saving healthcare
gopdebate"
1," on gopdebate is a writer at the top of his game "
0," now we know rands strategy  hes going after trump hes got nothing to lose  he is nowhere anyway gopdebate"
-1,"credit where credit is due  i was shocked shocked by trumps cogent health care debate response gopdebate  "
-1," that concludes our debate please welcome the koch brothers who will choose an ideological broodmare from our whorestab‚Ä"
